"","CONTROL_AVE","PROGRAM_AVE","CONTROL_SD","PROGRAM_SD","CONTROL_PRESENT","PROGRAM_PRESENT"
"FEMALE",0.458,0.452,0.498,0.498,1,1
"AGE",18.798,18.891,2.159,2.19,0.982,0.984
"WHITE",0.263,0.267,0.441,0.443,0.982,0.965
"BLACK",0.491,0.492,0.5,0.5,0.982,0.965
"HISP",0.173,0.169,0.378,0.375,0.982,0.965
"OTHERRAC",0.073,0.071,0.259,0.257,0.982,0.965
"NEVERMARRIED",0.916,0.917,0.278,0.275,0.981,0.984
"MARRIED",0.023,0.02,0.15,0.139,0.981,0.984
"TOGETHER",0.04,0.039,0.197,0.193,0.981,0.984
"SEPARATED",0.021,0.024,0.144,0.154,0.981,0.984
"HASCHLD",0.192,0.189,0.394,0.392,0.975,0.979
"NCHLD",0.265,0.268,0.637,0.648,1,1
"HGC",10.105,10.114,1.54,1.562,0.981,0.983
"HGC_MOTH",11.461,11.483,2.589,2.562,0.808,0.816
"HGC_FATH",11.54,11.394,2.789,2.853,0.615,0.62
"EVARRST",0.24,0.24,0.427,0.427,0.982,0.965
"HH_INC1",0.251,0.253,0.434,0.435,0.653,0.632
"HH_INC2",0.208,0.206,0.406,0.405,0.653,0.632
"HH_INC3",0.114,0.117,0.317,0.321,0.653,0.632
"HH_INC4",0.245,0.245,0.43,0.43,0.653,0.632
"HH_INC5",0.182,0.179,0.386,0.383,0.653,0.632
"PERS_INC1",0.789,0.789,0.408,0.408,0.925,0.919
"PERS_INC2",0.131,0.127,0.337,0.334,0.925,0.919
"PERS_INC3",0.046,0.053,0.209,0.223,0.925,0.919
"PERS_INC4",0.034,0.031,0.181,0.174,0.925,0.919
"CURRJOB.x",0.191,0.196,0.393,0.397,0.982,0.965
"CURRJOB.y",0.192,0.198,0.394,0.398,0.978,0.98
"MOSINJOB",3.53,3.596,4.238,4.249,1,1
"YR_WORK",0.627,0.636,0.484,0.481,0.982,0.965
"EARN_YR",2810.482,2906.453,4435.649,6401.34,0.932,0.939
"HRSWK_JR",20.908,21.816,20.704,21.046,1,1
"WKEARNR",102.894,110.993,116.466,350.614,1,1
"EARNQ4",104.474,89.665,144.642,136.78,0.982,0.965
"EARNQ8",150.71,159.808,195.541,195.972,0.982,0.965
"EARNQ12",186.999,208.233,219.905,232.74,0.982,0.965
"EARNQ16",215.048,241.03,234.537,251.974,0.982,0.965
"HWH52",17.784,15.297,23.392,22.68,1,1
"HWH104",21.977,22.645,26.08,26.252,1,1
"HWH156",23.881,25.879,26.151,26.574,1,1
"HWH208",25.833,27.786,26.25,25.745,1,1
"EARNH52",103.801,91.552,159.894,149.283,1,1
"EARNH104",150.407,157.423,210.243,200.266,1,1
"EARNH156",180.875,203.714,224.428,239.802,1,1
"EARNH208",200.5,227.912,230.663,250.223,1,1
