"","CONTROL_PRESENT","CONTROL_AVE","CONTROL_SD","PROGRAM_PRESENT","PROGRAM_AVE","PROGRAM_SD"
"FEMALE",1,0.458,0.498,1,0.452,0.498
"AGE",0.982,18.798,2.158,0.984,18.891,2.189
"WHITE",0.982,0.263,0.44,0.965,0.267,0.443
"BLACK",0.982,0.491,0.5,0.965,0.492,0.5
"HISP",0.982,0.173,0.378,0.965,0.169,0.375
"OTHERRAC",0.982,0.073,0.259,0.965,0.071,0.257
"NEVERMARRIED",0.981,0.916,0.278,0.984,0.917,0.275
"MARRIED",0.981,0.023,0.15,0.984,0.02,0.139
"TOGETHER",0.981,0.04,0.197,0.984,0.039,0.193
"SEPARATED",0.981,0.021,0.144,0.984,0.024,0.154
"HASCHLD",0.975,0.192,0.394,0.979,0.189,0.392
"NCHLD",1,0.265,0.636,1,0.268,0.648
"HGC",0.981,10.105,1.54,0.983,10.114,1.562
"HGC_MOTH",0.808,11.461,2.588,0.816,11.483,2.562
"HGC_FATH",0.615,11.54,2.789,0.62,11.394,2.852
"EVARRST",0.982,0.24,0.427,0.965,0.24,0.427
"HH_INC1",0.653,0.251,0.434,0.632,0.253,0.435
"HH_INC2",0.653,0.208,0.406,0.632,0.206,0.405
"HH_INC3",0.653,0.114,0.317,0.632,0.117,0.321
"HH_INC4",0.653,0.245,0.43,0.632,0.245,0.43
"HH_INC5",0.653,0.182,0.386,0.632,0.179,0.383
"PERS_INC1",0.925,0.789,0.408,0.919,0.789,0.408
"PERS_INC2",0.925,0.131,0.337,0.919,0.127,0.334
"PERS_INC3",0.925,0.046,0.209,0.919,0.053,0.223
"PERS_INC4",0.925,0.034,0.181,0.919,0.031,0.174
"CURRJOB.x",0.982,0.191,0.393,0.965,0.196,0.397
"CURRJOB.y",0.978,0.192,0.394,0.98,0.198,0.398
"MOSINJOB",1,3.53,4.237,1,3.596,4.248
"YR_WORK",0.982,0.627,0.483,0.965,0.636,0.481
"EARN_YR",0.932,2810.482,4434.955,0.939,2906.453,6400.714
"HRSWK_JR",1,20.908,20.701,1,21.816,21.044
"WKEARNR",1,102.894,116.449,1,110.993,350.581
"EARNQ4",0.982,104.474,144.621,0.965,89.665,136.767
"EARNQ8",0.982,150.71,195.512,0.965,159.808,195.954
"EARNQ12",0.982,186.999,219.872,0.965,208.233,232.717
"EARNQ16",0.982,215.048,234.502,0.965,241.03,251.95
"HWH52",1,17.784,23.388,1,15.297,22.678
"HWH104",1,21.977,26.076,1,22.645,26.25
"HWH156",1,23.881,26.147,1,25.879,26.571
"HWH208",1,25.833,26.246,1,27.786,25.742
"EARNH52",1,103.801,159.871,1,91.552,149.269
"EARNH104",1,150.407,210.212,1,157.423,200.248
"EARNH156",1,180.875,224.395,1,203.714,239.78
"EARNH208",1,200.5,230.629,1,227.912,250.2
