"","Estimate","Std. Error"
"(Intercept)",-1.283,0.433
"TREATMNT.y",0.145,0.076
"FEMALE",-0.161,0.082
"AGE",0.03,0.023
"BLACK",-0.43,0.093
"HISP",-0.117,0.123
"OTHERRAC",-0.413,0.157
"MARRIED",-0.136,0.249
"TOGETHER",0.058,0.199
"SEPARATED",-0.413,0.229
"HASCHLD",0.067,0.185
"NCHLD",0.028,0.114
"HGC",0.086,0.03
"HGC_MOTH",0.007,0.017
"HGC_FATH",0.008,0.015
"EVARRST",-0.083,0.091
"HH_INC2",0.009,0.117
"HH_INC3",0.109,0.138
"HH_INC4",0.044,0.113
"HH_INC5",0.095,0.124
"PERS_INC2",0.082,0.119
"PERS_INC3",0.321,0.185
"PERS_INC4",0.116,0.225
"CURRJOB.y",0.392,0.11
"MOSINJOB",0.038,0.019
"YR_WORK",0.235,0.165
"EARN_YR",0,0
"HRSWK_JR",-0.002,0.004
"WKEARNR",0,0.001
