"","weeks","delta","group"
"1",1,-0.00270316265265275,1
"2",2,0.0174483677548301,1
"3",3,0.0116161616161616,1
"4",4,0.0305372055340895,1
"5",5,0.0658450704225352,1
"6",6,0.0726764500349406,1
"7",7,0.0151515151515152,1
"8",8,0.121242823370483,1
"9",9,0.0785149117468046,1
"10",10,0.0906471631205674,1
"11",11,0.121140763997907,1
"12",12,0.126493733605363,1
"13",13,0.0555555555555556,1
"14",14,0.0865384615384616,1
"15",15,0.00490196078431371,1
"16",16,0.0242248062015504,1
"17",17,0.0452349582784366,1
"18",18,-0.00535714285714284,1
"19",19,0.00608163090496383,1
"20",20,-0.00369713102632357,1
"21",21,0.0275963766589425,1
"22",22,0.0382352941176471,1
"23",23,0.0687486029951783,1
"24",24,0.0468344370860927,1
"25",25,0.0247652090686128,1
"26",26,0.00034674696596404,1
"27",27,0.050287217996855,1
"28",28,0.00424162644434695,1
"29",29,0.00797614093494242,1
"30",30,0.0187401076289965,1
"31",31,0.00324859085587581,1
"32",32,0.0173421276209376,1
"33",33,-0.00598133194818279,1
"34",34,0.00863416158774805,1
"35",35,0.0267255708162015,1
"36",36,-0.0138050043140638,1
"37",37,0.0206135040073805,1
"38",38,0.00948167567862795,1
"39",39,0.00322505800464035,1
"40",40,0.0570778987675003,1
"41",41,0.0584708020450551,1
"42",42,0.0322919963509765,1
"43",43,0.0450698111842581,1
"44",44,0.0358041113157023,1
"45",45,0.0285578429178787,1
"46",46,0.0606350391068402,1
"47",47,0.0225987591298201,1
"48",48,0.0400684944310887,1
"49",49,0.0296145170692146,1
"50",50,0.034551418611407,1
"51",51,0.00656804733727812,1
"52",52,0.0180458867188558,1
"53",53,0.0137992501075666,1
"54",54,0.0392255928450111,1
"55",55,0.0492501572932416,1
"56",56,0.0334229701596114,1
"57",57,0.0403556306079242,1
"58",58,0.0492831183353968,1
"59",59,0.0534066113580939,1
"60",60,0.0418646693026585,1
"61",61,0.051284401719621,1
"62",62,0.0482171203818833,1
"63",63,0.0441618709674062,1
"64",64,0.0373661106233538,1
"65",65,0.032315896309607,1
"66",66,0.0280082361872277,1
"67",67,0.0294972365840613,1
"68",68,0.0356800961381782,1
"69",69,0.0350935632409131,1
"70",70,0.0358590075519975,1
"71",71,0.0419668473475037,1
"72",72,0.0423412006969745,1
"73",73,0.0264835164835165,1
"74",74,0.0337173579109063,1
"75",75,0.0190010787085255,1
"76",76,0.021193870118154,1
"77",77,0.0256178129146395,1
"78",78,0.0210924819732326,1
"79",79,0.0171512192393909,1
"80",80,0.0238873709838092,1
"81",81,0.0321509050469372,1
"82",82,0.0172368397762674,1
"83",83,0.0127480047123785,1
"84",84,0.0269824076438579,1
"85",85,0.0193597945777115,1
"86",86,0.0273273181286653,1
"87",87,0.0174137603495496,1
"88",88,0.0152979958184419,1
"89",89,0.0199134199134199,1
"90",90,0.0187595893057437,1
"91",91,0.0304437881957262,1
"92",92,0.0363078365625594,1
"93",93,0.031117275045796,1
"94",94,0.036602775705652,1
"95",95,0.0306443384866638,1
"96",96,0.0415560465094577,1
"97",97,0.0536865420261107,1
"98",98,0.0466095302293482,1
"99",99,0.0477246730269397,1
"100",100,0.0455287177004322,1
"101",101,0.0367857955706669,1
"102",102,0.0489941338282571,1
"103",103,0.0490383953091282,1
"104",104,0.0395596984288396,1
"105",105,0.0409866707080329,1
"106",106,0.0422919410585126,1
"107",107,0.047705377637785,1
"108",108,0.0460025143999762,1
"109",109,0.0440477216408963,1
"110",110,0.0508595935404851,1
"111",111,0.0496687935091323,1
"112",112,0.0411666132358716,1
