"","weeks","delta","group"
"1",1,0,1
"2",2,0,1
"3",3,0,1
"4",4,0,1
"5",5,0,1
"6",6,0,1
"7",7,0,1
"8",8,0,1
"9",9,0,1
"10",10,0.0109277430865299,1
"11",11,-0.0343489508479448,1
"12",12,-0.0098015192354815,1
"13",13,0.00178720362206602,1
"14",14,0.032183908045977,1
"15",15,0.0486111111111111,1
"16",16,0.0579710144927537,1
"17",17,0.0709219858156028,1
"18",18,0.0337250894225856,1
"19",19,0.0506937616082159,1
"20",20,0.0254310344827586,1
"21",21,-0.0108695652173913,1
"22",22,-0.0361226611226611,1
"23",23,0.202614379084967,1
"24",24,0.0789473684210527,1
"25",25,-0.0149602618045816,1
"26",26,0.160919540229885,1
"27",27,0.0836390315480557,1
"28",28,0.17156862745098,1
"29",29,0.0260790960451977,1
"30",30,0.0462325581395349,1
"31",31,0.0535681652046784,1
"32",32,0.00402930402930401,1
"33",33,0.0279962252280592,1
"34",34,0.0693428853754941,1
"35",35,0.0378356551584898,1
"36",36,0.0605696536365235,1
"37",37,0.0373626800201856,1
"38",38,0.0733617021276596,1
"39",39,0.0251864601262192,1
"40",40,0.0564889885572997,1
"41",41,0.0416968966886148,1
"42",42,0.0368686868686869,1
"43",43,0.0434044559707651,1
"44",44,0.0548520283750831,1
"45",45,0.0948390262956267,1
"46",46,0.1130526977146,1
"47",47,0.0505367650361587,1
"48",48,0.0591391405788069,1
"49",49,0.0365244754122048,1
"50",50,0.0177120973470459,1
"51",51,0.0454864074119224,1
"52",52,0.0862377394309636,1
"53",53,0.0664644012944984,1
"54",54,0.0474026054667611,1
"55",55,0.033791180797057,1
"56",56,0.0356890399892285,1
"57",57,0.0254752360015518,1
"58",58,0.0419215901135361,1
"59",59,0.0137008759192468,1
"60",60,0.0142904399314701,1
"61",61,0.0410230568960728,1
"62",62,0.0575123260177146,1
"63",63,0.065332235600837,1
"64",64,0.0519695386560432,1
"65",65,0.0592080810960801,1
"66",66,0.047645226314825,1
"67",67,0.0532482872667139,1
"68",68,0.0371562131001602,1
"69",69,0.0446410760593884,1
"70",70,0.0536255541816208,1
"71",71,0.02751924001924,1
"72",72,0.0144726260171741,1
"73",73,0.0304205709304859,1
"74",74,0.0302749579074174,1
"75",75,0.0275513259025914,1
"76",76,0.0182280930119481,1
"77",77,0.0240972049635446,1
"78",78,0.027255006879682,1
"79",79,0.0189620587194148,1
"80",80,0.0292011874161988,1
"81",81,0.01379465011409,1
"82",82,0.0163016091332327,1
"83",83,0.0188473384329496,1
"84",84,0.0265998510257237,1
"85",85,0.0238755275624273,1
"86",86,0.0295215370376664,1
"87",87,0.0343151927061926,1
"88",88,0.0271585900463362,1
"89",89,0.0242864190181699,1
"90",90,0.0124382230114408,1
"91",91,0.0203492473968414,1
"92",92,0.0379057200427079,1
"93",93,0.0199306712795684,1
"94",94,0.0140149318022179,1
"95",95,0.0363225989467063,1
"96",96,0.0119420971270811,1
"97",97,0.0208618283219559,1
"98",98,0.00481675782065177,1
"99",99,0.00626620714338877,1
"100",100,0.0184963693753627,1
"101",101,0.0127985462097612,1
"102",102,0.0241107014302423,1
"103",103,0.0257558094119211,1
"104",104,0.0548060743577957,1
"105",105,0.0209290561369393,1
"106",106,0.0105842697537126,1
"107",107,0.0304592571917909,1
"108",108,0.0483376170027086,1
"109",109,0.0558115954380467,1
"110",110,0.0348088045590282,1
"111",111,0.0498666696757244,1
"112",112,0.0551374716108756,1
"113",113,0.0458584825234442,1
"114",114,0.0443343510328637,1
"115",115,0.056707735543533,1
"116",116,0.05394385944236,1
"117",117,0.0536162790697674,1
"118",118,0.0538011922522976,1
"119",119,0.0457256378864245,1
"120",120,0.0460513408701593,1
"121",121,0.0504426032407929,1
"122",122,0.0435909337617347,1
"123",123,0.0415470392641418,1
"124",124,0.0269431373167535,1
"125",125,0.0323347529483758,1
"126",126,0.0276756690938421,1
"127",127,0.0292953116030366,1
"128",128,0.0416592549813354,1
"129",129,0.0426858220250181,1
"130",130,0.0423605145366072,1
"131",131,0.0385887272070066,1
"132",132,0.0371604624528211,1
"133",133,0.0545027875831559,1
"134",134,0.0491031901462213,1
"135",135,0.0505207847882834,1
"136",136,0.0547465800464242,1
"137",137,0.0379416265087167,1
"138",138,0.0452748493975904,1
"139",139,0.0499955411282453,1
"140",140,0.0464130490092347,1
"141",141,0.043638024539476,1
"142",142,0.0432466552738134,1
"143",143,0.0451479809014311,1
"144",144,0.039743181092988,1
"145",145,0.0480989469942725,1
"146",146,0.0467054985906984,1
"147",147,0.046258802536984,1
"148",148,0.0371682093465414,1
"149",149,0.0360419639745013,1
"150",150,0.0396212483263957,1
"151",151,0.0522036854931806,1
"152",152,0.0512414246768602,1
"153",153,0.0404411100193978,1
"154",154,0.0401834650359844,1
"155",155,0.0327710518328669,1
"156",156,0.0456181207181313,1
"157",157,0.0405440362680282,1
"158",158,0.0450658996583092,1
"159",159,0.0400691625009951,1
"160",160,0.0441140024783148,1
"161",161,0.0410624970662247,1
"162",162,0.0367873833715398,1
"163",163,0.0394291896173043,1
"164",164,0.0447220324225833,1
"165",165,0.0390656605947394,1
"166",166,0.0417015938891397,1
"167",167,0.0334761113336757,1
"168",168,0.0444330257300138,1
"169",169,0.034839078800323,1
"170",170,0.0408503666183183,1
"171",171,0.0394514218445352,1
"172",172,0.0396350547607172,1
"173",173,0.0419059176315714,1
"174",174,0.0433413259099164,1
"175",175,0.0412741176901317,1
"176",176,0.056977085875266,1
"177",177,0.0587331414473684,1
"178",178,0.0540269643037814,1
"179",179,0.05245948080875,1
"180",180,0.0523683311879261,1
"181",181,0.0546649538237906,1
"182",182,0.0553318188500145,1
"183",183,0.055543290733518,1
"184",184,0.0498189749729162,1
"185",185,0.0549362066025803,1
"186",186,0.0502966638385876,1
"187",187,0.0492717535348892,1
"188",188,0.0545110600823246,1
"189",189,0.0454050522246595,1
"190",190,0.0476631497632922,1
