"","weeks","delta","group"
"1",1,0.0460885684698145,1
"2",2,0.0190784132583074,1
"3",3,0.0444345184920493,1
"4",4,0.0399286329518888,1
"5",5,0.0143441784325762,1
"6",6,0.0126262626262626,1
"7",7,0.00574919151994252,1
"8",8,0.0191638509254123,1
"9",9,0.027190524707081,1
"10",10,0.0116637992106062,1
"11",11,0.0191029900332226,1
"12",12,0.0342657342657343,1
"13",13,-0.0129679092633453,1
"14",14,0.0280622489959839,1
"15",15,0.0808535911036474,1
"16",16,0.10273556231003,1
"17",17,0.0211624893153555,1
"18",18,0.0206853221207288,1
"19",19,0.0225196684091029,1
"20",20,0.0371428571428571,1
"21",21,0.0181805116412762,1
"22",22,0.0585284280936455,1
"23",23,-0.00648890986314299,1
"24",24,-0.006673183447377,1
"25",25,-0.0275116212883028,1
"26",26,0.00723236386138615,1
"27",27,0.00508159591149315,1
"28",28,0.00881059965957659,1
"29",29,0.0289662048542389,1
"30",30,0.0375392670157068,1
"31",31,-0.00439753737906773,1
"32",32,-0.00892434421232763,1
"33",33,-0.0233129994798316,1
"34",34,-0.0325581395348837,1
"35",35,-0.0351390441128131,1
"36",36,-0.0269694172898106,1
"37",37,-0.0279368126110027,1
"38",38,-0.00756155968556405,1
"39",39,-0.00270095875470383,1
"40",40,0.0340942965023847,1
"41",41,0.0256253440156565,1
"42",42,0.0398595600503619,1
"43",43,0.0346788111217641,1
"44",44,0.0550069226639541,1
"45",45,0.0638609127995921,1
"46",46,0.0655468426550398,1
"47",47,0.0797199638663053,1
"48",48,0.0662470023980815,1
"49",49,0.0462679717153099,1
"50",50,0.0511185583478917,1
"51",51,0.0660721386644147,1
"52",52,0.0617444587861376,1
"53",53,0.0665875794488971,1
"54",54,0.060781562672753,1
"55",55,0.0484335889895134,1
"56",56,0.0408889615489555,1
"57",57,0.0508119205075134,1
"58",58,0.0428841699220667,1
"59",59,0.0531298388578327,1
"60",60,0.0637924098513108,1
"61",61,0.0571260260083576,1
"62",62,0.064846025801082,1
"63",63,0.0544647412126331,1
"64",64,0.0479078946300223,1
"65",65,0.064579956547229,1
"66",66,0.0691980944542481,1
"67",67,0.0743917360569775,1
"68",68,0.0805889639050261,1
"69",69,0.0822351978915799,1
"70",70,0.0791564875046686,1
"71",71,0.0726987792513716,1
"72",72,0.0677777309270816,1
"73",73,0.0688459074270711,1
"74",74,0.061150174311678,1
"75",75,0.0502040781987275,1
"76",76,0.0532378534276629,1
"77",77,0.0500107998199653,1
"78",78,0.0557393470199955,1
"79",79,0.0567188788128606,1
"80",80,0.0656928770095937,1
"81",81,0.0600034280184229,1
"82",82,0.067224473279882,1
"83",83,0.0713580437231353,1
"84",84,0.0551621396068386,1
"85",85,0.0654594285850079,1
"86",86,0.0671742197045079,1
"87",87,0.0609093454860189,1
"88",88,0.0623126342522699,1
"89",89,0.0607692504489938,1
"90",90,0.0667686855670103,1
"91",91,0.0690433607114513,1
"92",92,0.0718133279031644,1
"93",93,0.069232418630009,1
"94",94,0.0664540660684664,1
"95",95,0.0619272304778196,1
"96",96,0.063942635226884,1
"97",97,0.0624945579469806,1
"98",98,0.0630574143927412,1
"99",99,0.0576763462207117,1
"100",100,0.0515547549377924,1
"101",101,0.0452638099038877,1
"102",102,0.0550406890203431,1
"103",103,0.0572682739544612,1
"104",104,0.0593956665708217,1
"105",105,0.0575578007601657,1
"106",106,0.0602879715832242,1
"107",107,0.0590593035047189,1
"108",108,0.0704479730617474,1
"109",109,0.0680648457822371,1
"110",110,0.0691940156720239,1
"111",111,0.0707409362064685,1
"112",112,0.062620653747135,1
"113",113,0.0608913341455986,1
"114",114,0.070088895947519,1
"115",115,0.0663806673875324,1
"116",116,0.0694088434204046,1
"117",117,0.0673989666790582,1
"118",118,0.0665803524073973,1
"119",119,0.0600892847870243,1
"120",120,0.064406435817024,1
"121",121,0.0641848165408375,1
"122",122,0.0597984681097218,1
"123",123,0.061683507765755,1
"124",124,0.0558772199979469,1
"125",125,0.060669329510037,1
"126",126,0.0538994325064603,1
"127",127,0.0548647408824628,1
"128",128,0.0603622752936114,1
"129",129,0.0621252282765147,1
"130",130,0.0552046267822754,1
"131",131,0.0596934822168734,1
"132",132,0.0651938813768621,1
"133",133,0.0671123593533618,1
"134",134,0.0711398410124223,1
"135",135,0.0661262715283825,1
"136",136,0.0601300256860282,1
"137",137,0.0672546178339112,1
"138",138,0.0713404722605948,1
"139",139,0.0741497716294812,1
"140",140,0.0740269802901362,1
"141",141,0.068985462995946,1
"142",142,0.0665148607060138,1
"143",143,0.0693285605808898,1
"144",144,0.0713971101024066,1
"145",145,0.0715935024244613,1
