"","control_mean","itt_mean","late_mean","control_mean_sd","itt_sd","late_sd","control_sample_size"
"rx_num_mod_12m",2.318,0.0999,0.3474,0.0347,0.0507,0.1754,95.420123663722
"doc_num_mod_12m",1.914,0.3141,1.0827,0.0353,0.0536,0.1819,108.73361945599
"er_num_mod_12m",0.47,0.0074,0.0256,0.0112,0.0161,0.0556,108.816359064251
"hosp_num_mod_12m",0.097,0.0062,0.0214,0.0041,0.0061,0.0211,108.940350651171
"cost_doc_oop_12m",147.939,305.9964,1041.7349,11.3143,331.8647,1130.1831,103.711137299713
"cost_er_oop_12m",120.613,-12.2613,-41.1539,11.9591,17.4029,58.3845,102.279030108816
"cost_rx_oop_12m",92.103,-10.0939,-34.1278,3.8911,5.8144,19.6245,103.571231526906
"cost_oth_oop_12m",95.837,2344.2774,7830.0882,24.9489,2377.7759,7945.318,100.81170566953
"cost_tot_oop_12m",426.493,2434.1897,8331.4065,29.4342,2212.5631,7576.6946,107.004672795163
"cost_tot_owe_12m",98512327.858,-89404795.2872,-312796262.5972,98265538.8632,89328258.5432,312610932.9355,98.1376584191818
"cost_tot_oop_mod_12m",307.328,-35.5683,-121.83,8.6012,12.5902,42.8554,106.784830383346
"cost_tot_owe_mod_12m",2853.486,-519.0028,-1821.6578,113.4782,165.5538,582.2682,97.9438614717635
"notbaddays_phys_12m",20.329,0.4592,1.5854,0.1206,0.1743,0.6054,103.609845092057
"notbaddays_tot_12m",21.862,0.381,1.3171,0.1121,0.1615,0.5621,104.604015219302
"notbaddays_ment_12m",18.738,0.6029,2.082,0.1271,0.1841,0.6397,104.096109437385
"rx_any_12m",0.637,0.0252,0.0878,0.0058,0.0083,0.0287,95.4410813015025
"doc_any_12m",0.574,0.0617,0.2124,0.0051,0.0074,0.0252,108.830142883302
"er_any_12m",0.261,0.0065,0.0223,0.0046,0.0067,0.0231,108.88526071053
"hosp_any_12m",0.072,0.0022,0.0077,0.0027,0.004,0.0136,109.013760599293
"cost_any_oop_12m",0.555,-0.058,-0.1995,0.0052,0.0076,0.0262,108.724422279449
"cost_any_owe_12m",0.597,-0.0523,-0.1798,0.0052,0.0076,0.0264,108.738217752545
"cost_borrow_12m",0.364,-0.0447,-0.1543,0.005,0.0073,0.0252,108.613995414956
"cost_refused_12m",0.081,-0.0105,-0.0363,0.0029,0.0041,0.0141,106.27793750351
"health_genflip_bin_12m",0.548,0.0387,0.1329,0.0052,0.0076,0.0264,108.457364895151
"health_notpoor_12m",0.86,0.0288,0.099,0.0036,0.0051,0.0176,108.457364895151
"health_chgflip_bin_12m",0.714,0.0328,0.1128,0.0047,0.0067,0.0233,108.57255638512
"nodep_screen_12m",0.671,0.0227,0.0783,0.0049,0.0071,0.0247,108.083301207911
