"","control_mean","itt","late"
"rx_any_12m",0.0137,0.0145,0.0506
"doc_any_12m",0.0145,0.0149,0.0515
"er_any_12m",0.0082,0.0095,0.0329
"hosp_any_12m",0.0037,0.0045,0.0155
"cost_any_oop_12m",0.0118,0.0122,0.042
"cost_any_owe_12m",0.0114,0.0125,0.043
"cost_borrow_12m",0.0152,0.0154,0.0532
"cost_refused_12m",0.0118,0.0118,0.0407
"health_genflip_bin_12m",0.0136,0.0143,0.0488
"health_notpoor_12m",0.0037,0.0051,0.0176
"health_chgflip_bin_12m",0.0134,0.0139,0.0475
"nodep_screen_12m",0.0147,0.0148,0.0507
